problem_key,parameterId,parameterId,lowerBound,upperBound,ensemble_mean,ensemble_std,ensemble_median,within lb: 1 std,within ub: 1 std,within lb: 2 std,within ub: 2 std,within lb: 3 std,within ub: 3 std,within lb: perc 5,within lb: perc 20,within ub: perc 80,within ub: perc 95,percentile_5,percentile_25,percentile_75,percentile_95,true_value,A0,B0
prob_000 | p_000,rA,rA,0.001,100.0,0.09141836996845422,0.1516399363985175,0.09141836996845422,False,True,False,True,False,True,True,True,True,True,0.0013168951627759026,0.004748142259489178,0.10168411061102821,0.4147466770931765,0.1,[0.1],[0.9]
prob_002 | p_001,rA,rA,0.001,100.0,0.09372723233184665,0.028344727094117346,0.09372723233184665,True,True,True,True,True,True,True,True,True,True,0.04996463234146582,0.07348587077975549,0.11111958618221623,0.1454071233832662,0.1,[0.5],[0.5]
prob_002 | p_001,rB,rB,0.001,100.0,0.4886277529235205,0.051418091333682275,0.4886277529235205,True,True,True,True,True,True,True,True,True,True,0.4080850193287289,0.45308095571656115,0.5214671999116528,0.5819460723041195,0.5,[0.5],[0.5]
prob_003 | p_001,rA,rA,0.001,100.0,0.09915348619789889,0.007088541478676096,0.09915348619789889,True,True,True,True,True,True,True,True,True,True,0.08749405974868721,0.09447373221964872,0.10351790666031259,0.11141602156279856,0.1,[0.7],[0.3]
prob_003 | p_001,rB,rB,0.001,100.0,0.4929836088119758,0.06581433831017977,0.4929836088119758,True,True,True,True,True,True,True,True,True,True,0.3862230703556024,0.4490080259947412,0.5337524308289359,0.6056102852098199,0.5,[0.7],[0.3]
prob_004 | p_001,rA,rA,0.001,100.0,0.09627035066351623,0.003750368819848881,0.09627035066351623,True,True,True,True,True,True,True,True,True,True,0.09182030723985873,0.09356605539405229,0.09789830172696852,0.10350472621734762,0.1,[0.9],[0.1]
prob_004 | p_001,rB,rB,0.001,100.0,0.20204374564276245,0.2746774296873436,0.20204374564276245,False,True,False,True,False,True,True,True,True,True,0.0016378128109008976,0.011359405387898976,0.30455900353802406,0.8202859911162925,0.5,[0.9],[0.1]
prob_001 | p_002,rA,rA,0.001,100.0,0.040496271063790695,0.05599687351242126,0.040496271063790695,False,True,False,True,False,True,True,True,True,True,0.001295735679871075,0.004550706126715805,0.054528545320789726,0.1470379412256473,0.1,[0.3],[0.7]
prob_001 | p_002,rB,rB,0.001,100.0,0.9573169589989405,0.04147534891790066,0.9573169589989405,True,True,True,True,True,True,True,True,True,True,0.9207758328070981,0.9324917826846435,0.9689701034576024,1.031345442039566,1.0,[0.3],[0.7]
prob_002 | p_002,rA,rA,0.001,100.0,0.09888674539283468,0.01449460850667786,0.09888674539283468,True,True,True,True,True,True,True,True,True,True,0.07590844394840401,0.08867607570648713,0.10827717970431686,0.12309285817157872,0.1,[0.5],[0.5]
prob_002 | p_002,rB,rB,0.001,100.0,0.9968611601062284,0.043294160596817365,0.9968611601062284,True,True,True,True,True,True,True,True,True,True,0.9278424895904819,0.9650739991596976,1.0251270968957367,1.0707407815543164,1.0,[0.5],[0.5]
prob_003 | p_002,rA,rA,0.001,100.0,0.0998045447636103,0.006918049941491637,0.0998045447636103,True,True,True,True,True,True,True,True,True,True,0.08886408689253644,0.09520568490430494,0.10444087587645205,0.11165638247254334,0.1,[0.7],[0.3]
prob_003 | p_002,rB,rB,0.001,100.0,0.9966833829904657,0.0772955533661508,0.9966833829904657,True,True,True,True,True,True,True,True,True,True,0.8743563715525464,0.9417074574624348,1.0478381541311643,1.1253037905959644,1.0,[0.7],[0.3]
prob_004 | p_002,rA,rA,0.001,100.0,0.09558897089919782,0.005840772965956434,0.09558897089919782,True,True,True,True,True,True,True,True,True,True,0.08738846355494863,0.09085578280029277,0.09998025759904566,0.10570802646229652,0.1,[0.9],[0.1]
prob_004 | p_002,rB,rB,0.001,100.0,0.636601115766413,0.4772125661796723,0.636601115766413,True,True,False,True,False,True,True,True,True,True,0.0053481346975207235,0.21654709180700538,0.9814497025118682,1.4915043446320544,1.0,[0.9],[0.1]
prob_000 | p_003,rA,rA,0.001,100.0,0.09441224064322254,0.17260268962359174,0.09441224064322254,False,True,False,True,False,True,True,True,True,True,0.001346135899183037,0.004824136029784952,0.10478303649073048,0.4121053507317723,0.1,[0.1],[0.9]
prob_000 | p_003,rB,rB,0.001,100.0,1.9984678742310933,0.05827618709211054,1.9984678742310933,True,True,True,True,True,True,True,True,True,True,1.9412445346286307,1.967175161154025,2.009329296816525,2.1007523287250973,2.0,[0.1],[0.9]
prob_001 | p_003,rA,rA,0.001,100.0,0.07902233896142358,0.044983142697563275,0.07902233896142358,True,True,False,True,False,True,True,True,True,True,0.00844162550592049,0.04491537936976996,0.11086813298128158,0.15532257463743893,0.1,[0.3],[0.7]
prob_001 | p_003,rB,rB,0.001,100.0,1.9652208256751538,0.0755299468059597,1.9652208256751538,True,True,True,True,True,True,True,True,True,True,1.8474435944055705,1.9094936451835396,2.016758845823705,2.095606340682483,2.0,[0.3],[0.7]
