Time [min],Conversion [%]
9.017,16.17375231
9.033,16.26617375
9.05,16.35859519
9.067,16.35859519
9.083,16.45101664
9.1,16.54343808
9.117,16.72828096
9.133,16.26617375
9.15,16.45101664
9.167,16.8207024
9.183,16.91312384
9.2,17.00554529
9.217,17.4676525
9.233,17.28280961
9.25,17.28280961
9.267,17.4676525
9.283,17.56007394
9.3,17.65249538
9.317,17.74491682
9.333,17.83733826
9.35,17.83733826
9.367,17.9297597
9.383,18.11460259
9.4,18.11460259
9.417,18.20702403
9.433,18.29944547
9.45,18.48428835
9.467,18.48428835
9.483,18.5767098
9.5,18.76155268
9.517,18.76155268
9.533,18.85397412
9.55,19.03881701
9.567,19.03881701
9.583,19.22365989
9.6,19.31608133
9.617,19.40850277
9.633,19.50092421
9.65,19.59334566
9.667,19.77818854
9.683,19.96303142
9.7,20.05545287
9.717,20.14787431
9.733,20.24029575
9.75,20.42513863
9.767,19.87060998
9.783,20.05545287
9.8,20.05545287
9.817,20.7948244
9.833,20.7948244
9.85,20.7948244
9.867,20.7948244
9.883,20.97966728
9.9,21.07208872
9.917,21.16451017
9.933,21.16451017
9.95,21.07208872
9.967,21.44177449
9.983,21.44177449
10,21.53419593
10.017,21.62661738
10.033,21.71903882
10.05,21.81146026
10.067,21.81146026
10.083,21.9038817
10.1,21.99630314
10.117,22.18114603
10.133,22.18114603
10.15,22.27356747
10.167,22.36598891
10.183,22.45841035
10.2,22.45841035
10.217,22.64325323
10.233,22.64325323
10.25,22.82809612
10.267,22.92051756
10.283,22.92051756
10.3,23.10536044
10.317,23.10536044
10.333,23.19778189
10.35,23.38262477
10.367,23.47504621
10.383,22.92051756
10.4,22.82809612
10.417,23.29020333
10.433,23.65988909
10.45,23.84473198
10.467,23.93715342
10.483,23.93715342
10.5,24.02957486
10.517,24.1219963
10.533,24.21441774
10.55,24.39926063
10.567,24.39926063
10.583,24.58410351
10.6,24.67652495
10.617,24.67652495
10.633,24.7689464
10.65,24.95378928
10.667,25.04621072
10.683,25.04621072
10.7,25.13863216
10.717,25.2310536
10.733,25.41589649
10.75,25.41589649
10.767,25.50831793
10.783,25.60073937
10.8,25.69316081
10.817,25.78558226
10.833,25.8780037
10.85,25.97042514
10.867,26.06284658
10.883,26.24768946
10.9,26.34011091
10.917,26.43253235
10.933,26.52495379
10.95,26.61737523
10.967,25.97042514
10.983,26.52495379
11,26.987061
11.017,27.07948244
11.033,27.17190388
11.05,27.63401109
11.067,27.44916821
11.083,27.63401109
11.1,27.81885397
11.117,28.00369686
11.133,28.18853974
11.15,28.37338262
11.167,28.46580407
11.183,28.55822551
11.2,28.65064695
11.217,28.83548983
11.233,28.92791128
11.25,29.11275416
11.267,29.2051756
11.283,29.29759704
11.3,29.39001848
11.317,29.39001848
11.333,29.66728281
11.35,29.75970425
11.367,29.85212569
11.383,30.03696858
11.4,30.22181146
11.417,30.3142329
11.433,30.49907579
11.45,30.59149723
11.467,30.68391867
11.483,30.86876155
11.5,30.96118299
11.517,31.14602588
11.533,31.23844732
11.55,31.33086876
11.567,31.4232902
11.583,30.86876155
11.6,31.14602588
11.617,31.70055453
11.633,31.79297597
11.65,31.88539741
11.667,31.97781885
11.683,31.97781885
11.7,32.25508318
11.717,32.34750462
11.733,32.5323475
11.75,32.5323475
11.767,32.71719039
11.783,32.71719039
11.8,32.80961183
11.817,32.90203327
11.833,32.99445471
11.85,33.08687616
11.867,33.1792976
11.883,33.27171904
11.9,33.27171904
11.917,33.45656192
11.933,33.54898336
11.95,33.64140481
11.967,33.64140481
11.983,33.82624769
12,33.82624769
12.017,33.91866913
12.033,34.10351201
12.05,33.45656192
12.067,33.82624769
12.083,34.19593346
12.1,34.38077634
12.117,34.47319778
12.133,34.56561922
12.15,34.56561922
12.167,34.75046211
12.183,34.84288355
12.2,34.84288355
12.217,34.93530499
12.233,35.12014787
12.25,35.12014787
12.267,35.21256932
12.283,35.21256932
12.3,35.3974122
12.317,35.3974122
12.333,35.58225508
12.35,35.58225508
12.367,35.67467652
12.383,35.76709797
12.4,35.85951941
12.417,35.95194085
12.433,36.04436229
12.45,36.13678373
12.467,36.22920518
12.483,36.22920518
12.5,36.41404806
12.517,36.5064695
12.533,36.59889094
12.55,36.78373383
12.567,36.78373383
12.583,36.87615527
12.6,36.96857671
12.617,37.06099815
12.633,37.15341959
12.65,37.24584104
12.667,37.33826248
12.683,37.43068392
12.7,37.52310536
12.717,37.6155268
12.733,37.6155268
12.75,37.6155268
12.767,37.80036969
12.783,37.89279113
12.8,37.98521257
12.817,37.52310536
12.833,37.43068392
12.85,37.98521257
12.867,38.26247689
12.883,38.26247689
12.9,38.35489834
12.917,38.44731978
12.933,38.53974122
12.95,38.63216266
12.967,38.7245841
12.983,38.81700555
13,38.90942699
13.017,38.90942699
13.033,39.00184843
13.05,39.09426987
13.067,39.09426987
13.083,39.18669131
13.1,39.18669131
13.117,39.27911275
13.133,39.3715342
13.15,39.46395564
13.167,39.46395564
13.183,39.55637708
13.2,39.55637708
13.217,39.09426987
13.233,39.55637708
13.25,39.8336414
13.267,39.8336414
13.283,39.92606285
13.3,39.92606285
13.317,40.11090573
13.333,40.20332717
13.35,40.20332717
13.367,40.29574861
13.383,40.29574861
13.4,40.38817006
13.417,40.4805915
13.433,40.57301294
13.45,40.57301294
13.467,40.57301294
13.483,40.66543438
13.5,40.75785582
13.517,40.85027726
13.533,40.85027726
13.55,40.94269871
13.567,40.94269871
13.583,41.03512015
13.6,41.12754159
13.617,41.21996303
13.633,41.21996303
13.65,41.31238447
13.667,41.31238447
13.683,41.40480591
13.7,41.49722736
13.717,41.49722736
13.733,41.5896488
13.75,41.68207024
13.767,41.77449168
13.783,41.77449168
13.8,41.86691312
13.817,41.95933457
13.833,42.05175601
13.85,42.14417745
13.867,42.23659889
13.883,42.42144177
13.9,42.42144177
13.917,42.51386322
13.933,42.60628466
13.95,42.60628466
13.967,42.6987061
13.983,42.79112754
14,42.79112754
14.017,42.88354898
14.033,42.88354898
14.05,42.42144177
14.067,42.42144177
14.083,43.16081331
14.1,43.16081331
14.117,43.25323475
14.133,43.34565619
14.15,43.34565619
14.167,43.43807763
14.183,43.43807763
14.2,43.53049908
14.217,43.62292052
14.233,43.62292052
14.25,43.62292052
14.267,43.71534196
14.283,43.71534196
14.3,43.8077634
14.317,43.8077634
14.333,43.43807763
14.35,43.71534196
14.367,43.99260628
14.383,43.99260628
14.4,44.08502773
14.417,44.08502773
14.433,44.17744917
14.45,44.17744917
14.467,44.26987061
14.483,44.26987061
14.5,44.36229205
14.517,44.36229205
14.533,44.45471349
14.55,44.45471349
14.567,44.54713494
14.583,44.54713494
14.6,44.63955638
14.617,44.63955638
14.633,44.73197782
14.65,44.82439926
14.667,44.82439926
14.683,44.9168207
14.7,44.9168207
14.717,45.00924214
14.733,45.10166359
14.75,45.10166359
14.767,45.10166359
14.783,45.19408503
14.8,45.28650647
14.817,45.28650647
14.833,45.37892791
14.85,45.47134935
14.867,45.47134935
14.883,45.56377079
14.9,45.56377079
14.917,45.65619224
14.933,45.74861368
14.95,45.74861368
14.967,45.84103512
14.983,45.84103512
15,45.93345656
15.017,46.025878
15.033,46.025878
15.05,46.025878
15.067,46.11829945
15.083,46.21072089
15.1,46.21072089
15.117,46.30314233
15.133,46.39556377
15.15,46.39556377
15.167,46.48798521
15.183,46.48798521
15.2,46.58040665
15.217,46.58040665
15.233,46.6728281
15.25,46.76524954
15.267,46.76524954
15.283,46.21072089
15.3,46.58040665
15.317,46.85767098
15.333,46.85767098
15.35,46.95009242
15.367,47.04251386
15.383,47.1349353
15.4,47.1349353
15.417,47.1349353
15.433,47.22735675
15.45,47.04251386
15.467,47.04251386
15.483,47.31977819
15.5,47.31977819
15.517,47.41219963
15.533,47.41219963
15.55,47.50462107
15.567,47.50462107
15.583,47.59704251
15.6,47.59704251
15.617,47.59704251
15.633,47.59704251
15.65,47.68946396
15.667,47.68946396
15.683,47.7818854
15.7,47.87430684
15.717,47.87430684
15.733,47.87430684
15.75,47.96672828
15.767,47.96672828
15.783,47.96672828
15.8,48.05914972
15.817,48.15157116
15.833,48.15157116
15.85,48.15157116
15.867,48.24399261
15.883,48.24399261
15.9,48.33641405
15.917,48.33641405
15.933,48.33641405
15.95,48.42883549
15.967,48.52125693
15.983,48.52125693
16,48.61367837
16.017,48.61367837
16.033,48.70609982
16.05,48.70609982
16.067,48.70609982
16.083,48.79852126
16.1,48.8909427
16.117,48.8909427
16.133,48.98336414
16.15,48.98336414
16.167,49.07578558
16.183,49.07578558
16.2,49.16820702
16.217,49.26062847
16.233,49.26062847
16.25,49.26062847
16.267,49.44547135
16.283,49.44547135
16.3,49.44547135
16.317,49.53789279
16.333,49.53789279
16.35,49.63031423
16.367,49.63031423
16.383,49.72273567
16.4,49.72273567
16.417,49.81515712
16.433,49.81515712
16.45,49.81515712
16.467,49.90757856
16.483,50
16.5,50
16.517,49.53789279
16.533,49.72273567
16.55,50
16.567,50.09242144
16.583,50.09242144
16.6,50
16.617,50
16.633,50.18484288
16.65,50.27726433
16.667,50.27726433
16.683,50.36968577
16.7,50.36968577
16.717,50.36968577
16.733,50.46210721
16.75,50.46210721
16.767,50.55452865
16.783,50.55452865
16.8,50.55452865
16.817,50.64695009
16.833,50.64695009
16.85,50.64695009
16.867,50.73937153
16.883,50.73937153
16.9,50.73937153
16.917,50.83179298
16.933,50.83179298
16.95,50.92421442
16.967,50.92421442
16.983,50.92421442
17,51.01663586
17.017,51.01663586
17.033,51.1090573
17.05,51.1090573
17.067,51.1090573
17.083,51.20147874
17.1,51.20147874
17.117,51.29390018
17.133,51.29390018
17.15,51.29390018
17.167,51.29390018
17.183,51.38632163
17.2,51.38632163
17.217,51.47874307
17.233,51.57116451
17.25,51.57116451
17.267,51.66358595
17.283,51.66358595
17.3,51.66358595
17.317,51.66358595
17.333,51.75600739
17.35,51.84842884
17.367,51.84842884
17.383,51.84842884
17.4,51.94085028
17.417,52.03327172
17.433,52.03327172
17.45,52.03327172
17.467,52.12569316
17.483,52.12569316
17.5,52.12569316
17.517,52.2181146
17.533,52.2181146
17.55,52.31053604
17.567,52.31053604
17.583,52.31053604
17.6,52.40295749
17.617,52.40295749
17.633,52.40295749
17.65,52.49537893
17.667,52.49537893
17.683,52.58780037
17.7,52.58780037
17.717,52.58780037
17.733,52.31053604
17.75,52.2181146
17.767,52.31053604
17.783,52.68022181
17.8,52.68022181
17.817,52.68022181
17.833,52.77264325
17.85,52.77264325
17.867,52.77264325
17.883,52.8650647
17.9,52.8650647
17.917,52.8650647
17.933,52.95748614
17.95,52.95748614
17.967,52.95748614
17.983,52.95748614
18,53.04990758
18.017,53.04990758
18.033,53.04990758
18.05,53.14232902
18.067,53.14232902
18.083,53.14232902
18.1,53.14232902
18.117,53.23475046
18.133,53.23475046
18.15,53.23475046
18.167,53.3271719
18.183,53.3271719
18.2,53.3271719
18.217,53.41959335
18.233,53.41959335
18.25,53.41959335
18.267,53.60443623
18.283,53.51201479
