Time [min],Conversion [%]
12.317,23.68932039
12.333,23.62459547
12.35,23.68932039
12.367,23.81877023
12.383,24.11003236
12.4,23.91585761
12.417,23.65695793
12.433,23.78640777
12.45,24.17475728
12.467,24.0776699
12.483,24.04530744
12.5,23.85113269
12.517,24.11003236
12.533,24.36893204
12.55,24.0776699
12.567,23.91585761
12.583,24.4012945
12.6,24.4012945
12.617,24.5631068
12.633,24.91909385
12.65,24.36893204
12.667,24.82200647
12.683,24.72491909
12.7,24.5631068
12.717,24.33656958
12.733,24.98381877
12.75,25.27508091
12.767,24.59546926
12.783,24.72491909
12.8,24.69255663
12.817,25.17799353
12.833,25.46925566
12.85,25.21035599
12.867,25.24271845
12.883,25.30744337
12.9,25.30744337
12.917,25.30744337
12.933,25.08090615
12.95,25.27508091
12.967,24.59546926
12.983,25.46925566
13,25.46925566
13.017,25.46925566
13.033,26.01941748
13.05,25.7605178
13.067,25.5987055
13.083,25.9223301
13.1,25.98705502
13.117,25.88996764
13.133,25.98705502
13.15,25.72815534
13.167,26.21359223
13.183,25.95469256
13.2,25.7605178
13.217,26.11650485
13.233,26.56957929
13.25,26.18122977
13.267,26.44012945
13.283,26.37540453
13.3,26.31067961
13.317,26.34304207
13.333,26.63430421
13.35,26.31067961
13.367,27.05501618
13.383,26.63430421
13.4,26.69902913
13.417,26.53721683
13.433,26.76375405
13.45,26.63430421
13.467,26.7961165
13.483,26.82847896
13.5,26.73139159
13.517,27.02265372
13.533,26.73139159
13.55,26.50485437
13.567,27.21682848
13.583,27.31391586
13.6,27.24919094
13.617,27.1197411
13.633,27.1197411
13.65,27.41100324
13.667,27.50809061
13.683,27.2815534
13.7,27.41100324
13.717,27.70226537
13.733,27.73462783
13.75,27.57281553
13.767,27.50809061
13.783,27.73462783
13.8,27.63754045
13.817,27.66990291
13.833,27.76699029
13.85,27.76699029
13.867,28.25242718
13.883,27.79935275
13.9,28.02588997
13.917,27.89644013
13.933,28.02588997
13.95,27.83171521
13.967,28.44660194
13.983,28.12297735
14,28.44660194
14.017,28.09061489
14.033,28.15533981
14.05,28.22006472
14.067,28.34951456
14.083,28.54368932
14.1,28.34951456
14.117,28.44660194
14.133,28.34951456
14.15,28.802589
14.167,28.54368932
14.183,28.73786408
14.2,28.34951456
14.217,28.86731392
14.233,28.86731392
14.25,28.89967638
14.267,29.09385113
14.283,28.802589
14.3,28.93203883
14.317,28.99676375
14.333,28.89967638
14.35,29.32038835
14.367,28.99676375
14.383,28.99676375
14.4,29.28802589
14.417,29.19093851
14.433,29.51456311
14.45,29.61165049
14.467,29.48220065
14.483,29.35275081
14.5,29.74110032
14.517,29.41747573
14.533,29.70873786
14.55,29.54692557
14.567,29.6763754
14.583,29.61165049
14.6,28.73786408
14.617,29.80582524
14.633,29.61165049
14.65,29.6763754
14.667,29.93527508
14.683,29.93527508
14.7,30
14.717,30
14.733,30.19417476
14.75,29.90291262
14.767,30.19417476
14.783,30.35598706
14.8,30.29126214
14.817,30.45307443
14.833,30.38834951
14.85,30.3236246
14.867,30.25889968
14.883,30.48543689
14.9,30.55016181
14.917,30.58252427
14.933,30.58252427
14.95,30.67961165
14.967,30.38834951
14.983,30.58252427
15,30.35598706
15.017,30.64724919
15.033,30.58252427
15.05,30.80906149
15.067,30.90614887
15.083,30.93851133
15.1,30.97087379
15.117,31.16504854
15.133,31.03559871
15.15,31.13268608
15.167,30.74433657
15.183,30.77669903
15.2,31.10032362
15.217,31.197411
15.233,31.22977346
15.25,31.10032362
15.267,31.22977346
15.283,31.55339806
15.3,31.197411
15.317,30.84142395
15.333,31.16504854
15.35,31.39158576
15.367,31.58576052
15.383,31.48867314
15.4,31.71521036
15.417,31.48867314
15.433,31.6828479
15.45,31.45631068
15.467,31.6828479
15.483,31.77993528
15.5,31.5210356
15.517,31.81229773
15.533,32.00647249
15.55,31.6828479
15.567,31.74757282
15.583,31.84466019
